check_date,shift,vehicle_no,vehicle,driver_name,licence_no,licence_valid_until,checked_by,remarks,submitted_at,id,1. कागजात / Documents,2. फायर एक्सटीन्गुइशेर / Fire Extinguisher,3. फर्स्ट ऐड बॉक्स / First Aid Box,4. दरवाजा / Door,5. हैंड लाइट / Hand Light,6. हॉर्न / Horn,7. ब्रेक / Brake,8. रियर व्यू मिरर / Rear View Mirror,9. वाइपर / Wiper,10. सीट बेल्ट / Seat Belt,11. फुट ब्रेक / Foot Brake,12. हैण्ड ब्रेक / Hand Brake,13. सेल्फ स्टार्टर / Self Starter,14. वाडी लाइट / Body Light,15. साइड इंडिकेटर / Side Indicator,16. ब्रेक लाइट / Brake Light,17. बैक हॉर्न / Reverse Horn,18. बैक लाइट / Reverse Light,19. टायर कंडीशन / Tyre Condition,20. स्टेपनी / Spare Tyre,21. टार्च / Torch,22. रिप्लेक्टर / Reflector,23. अन्य / Other,issues
2026-09-12,A,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,Reported to workshop,2026-09-21T17:10:49.756Z,991d2d01-29e0-4d75-b30a-72ea5b8526e0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,Tyre Condition: Rear left tyre worn
2026-09-12,B,CG-00-0000,Ambulance,Suresh Yadav,CG04-2021-7788,2028-03-31,,,2026-09-21T17:10:51.801Z,d5cca668-0675-4554-b28d-d60d111ea1fd,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-12,C,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:10:53.849Z,a2ea659d-d76a-4bfc-8b89-ffaf7f47f01b,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-13,A,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:10:55.902Z,7587bf9c-ae9b-4a9c-b53e-ff6674404e40,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-13,B,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,,2026-09-21T17:10:57.946Z,d8bed0f3-6368-419e-ad41-0233cbe6f1d7,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-14,A,CG-00-0000,Ambulance,Suresh Yadav,CG04-2021-7788,2028-03-31,,Reported to workshop,2026-09-21T17:11:00.096Z,c413443f-3dea-437b-b238-8f4e926a7766,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,Door: Door latch loose | Tyre Condition: Rear left tyre worn
2026-09-14,B,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:11:02.244Z,a619aa42-410b-4595-9283-19dc73dd91c3,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-14,C,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,,2026-09-21T17:11:04.294Z,11c5829d-4fb0-4efc-9878-dca127abbcf6,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-15,A,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,Reported to workshop,2026-09-21T17:11:06.447Z,b855f4f6-565d-469a-9c77-efb7b3ba2a63,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,Tyre Condition: Rear left tyre worn
2026-09-15,C,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:11:08.495Z,0fb2d698-06be-4b23-8f85-751ba463756c,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-16,A,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:11:10.542Z,3dd836fd-c76a-4562-b164-6d0b601c2238,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
